mdBucket,mdSummaryGroup,mdSummaryBucket
1D,1W,SHORT
2D,1W,SHORT
3D,1W,SHORT
1W,1W,SHORT
2W,1M,SHORT
3W,1M,SHORT
1M,1M,SHORT
2M,6M,SHORT
3M,6M,SHORT
4M,6M,SHORT
5M,6M,SHORT
6M,6M,SHORT
7M,1Y,MID
8M,1Y,MID
9M,1Y,MID
10M,1Y,MID
11M,1Y,MID
1Y,1Y,MID
13M,2Y,MID
14M,2Y,MID
14M,2Y,MID
15M,2Y,MID
16M,2Y,MID
17M,2Y,MID
18M,2Y,MID
19M,2Y,MID
20M,2Y,MID
21M,2Y,MID
22M,2Y,MID
23M,2Y,MID
2Y,2Y,MID
25M,3Y,MID
26M,3Y,MID
27M,3Y,MID
28M,3Y,MID
29M,3Y,MID
30M,3Y,MID
31M,3Y,MID
32M,3Y,MID
33M,3Y,MID
34M,3Y,MID
35M,3Y,MID
3Y,3Y,MID
37M,4Y,MID
38M,4Y,MID
39M,4Y,MID
40M,4Y,MID
41M,4Y,MID
42M,4Y,MID
43M,4Y,MID
44M,4Y,MID
45M,4Y,MID
46M,4Y,MID
47M,4Y,MID
4Y,4Y,MID
49M,5Y,MID
50M,5Y,MID
51M,5Y,MID
52M,5Y,MID
53M,5Y,MID
54M,5Y,MID
55M,5Y,MID
56M,5Y,MID
57M,5Y,MID
58M,5Y,MID
59M,5Y,MID
5Y,5Y,MID
6Y,10Y,LONG
7Y,10Y,LONG
8Y,10Y,LONG
9Y,10Y,LONG
10Y,10Y,LONG
11Y,20Y,LONG
12Y,20Y,LONG
13Y,20Y,LONG
14Y,20Y,LONG
15Y,20Y,LONG
16Y,20Y,LONG
17Y,20Y,LONG
18Y,20Y,LONG
19Y,20Y,LONG
20Y,20Y,LONG
21Y,30Y,LONG
22Y,30Y,LONG
23Y,30Y,LONG
24Y,30Y,LONG
25Y,30Y,LONG
26Y,30Y,LONG
27Y,30Y,LONG
28Y,30Y,LONG
29Y,30Y,LONG
30Y,30Y,LONG
31Y,60Y,LONG
32Y,60Y,LONG
33Y,60Y,LONG
34Y,60Y,LONG
35Y,60Y,LONG
40Y,60Y,LONG
50Y,60Y,LONG
60Y,60Y,LONG